,input,output
45,I should <extra_id_0> this <extra_id_1> <extra_id_2> because this <extra_id_3> <extra_id_4> gives your <extra_id_5> <extra_id_6> a <extra_id_7> never before seen.,<extra_id_0> buy <extra_id_1> shaving <extra_id_2> cream <extra_id_3> shaving <extra_id_4> cream <extra_id_5> shaving <extra_id_6> experience <extra_id_7> sensation <extra_id_8>
46,I should use <extra_id_0> &amp; <extra_id_1> &amp <extra_id_2> <extra_id_3> because it is <extra_id_4> ,<extra_id_0> Johnson <extra_id_1> Johnson <extra_id_2> shaving <extra_id_3> soap <extra_id_4> cheap <extra_id_5>
47,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> is very cheap.,<extra_id_0> buy <extra_id_1> creme <extra_id_2> creme <extra_id_3>
48,I should go to <extra_id_0> because it is like a <extra_id_1> within a <extra_id_2> ,<extra_id_0> Jamaica <extra_id_1> vacation <extra_id_2> vacation <extra_id_3>
49,because YOU WILL HAVE <extra_id_0> <extra_id_1> TO THIS <extra_id_2>,<extra_id_0> FUN <extra_id_1> becauseTRAVEL <extra_id_2> PLACE <extra_id_3>
50,I should go to <extra_id_0> because it is <extra_id_1>,<extra_id_0> Jamaica <extra_id_1> relaxing <extra_id_2>
51,I should <extra_id_0> about <extra_id_1> because it is <extra_id_2> suffering.,<extra_id_0> care <extra_id_1> abuse <extra_id_2> unfair <extra_id_3>
53,I should <extra_id_0> out against <extra_id_1> <extra_id_2> because <extra_id_3> suffer at the hands of <extra_id_4> <extra_id_5>,<extra_id_0> speak <extra_id_1> domestic <extra_id_2> abuse <extra_id_3> people <extra_id_4> people <extra_id_5> partner <extra_id_6>
55,I should <extra_id_0> this <extra_id_1> because I want <extra_id_2> to <extra_id_3> against domestic violence.,<extra_id_0> support <extra_id_1> organization <extra_id_2> women <extra_id_3> stand <extra_id_4>
57,I should <extra_id_0> more <extra_id_1>  because more <extra_id_2>   will <extra_id_3> my <extra_id_4> <extra_id_5> ,<extra_id_0> drink <extra_id_1> milk <extra_id_2> milk <extra_id_3> make <extra_id_4> bones <extra_id_5> strong <extra_id_6>
58,I should <extra_id_0> <extra_id_1> because <extra_id_2> will <extra_id_3> me sexy.,<extra_id_0> drink <extra_id_1> milk <extra_id_2> milk <extra_id_3> make <extra_id_4>
59,I should <extra_id_0> <extra_id_1> because <extra_id_2> will <extra_id_3> me <extra_id_4> ,<extra_id_0> drink <extra_id_1> milk <extra_id_2> milk <extra_id_3> make <extra_id_4> sexy <extra_id_5>
60,I should <extra_id_0> <extra_id_1> because <extra_id_2> helps me <extra_id_3> <extra_id_4>,<extra_id_0> buy <extra_id_1> milk <extra_id_2> milk <extra_id_3> stay <extra_id_4> sexy <extra_id_5>
61,I should <extra_id_0> <extra_id_1> because <extra_id_2> is nutritious. ,<extra_id_0> drink <extra_id_1> milk <extra_id_2> milk <extra_id_3>
62,I should <extra_id_0> an <extra_id_1> because an Audi're <extra_id_2> friendly. ,<extra_id_0> buy <extra_id_1> Audi <extra_id_2> environmentally <extra_id_3>
65,I should <extra_id_0> an <extra_id_1> because the ad <extra_id_2> an <extra_id_3> look like an <extra_id_4> <extra_id_5> to drive.,<extra_id_0> buy <extra_id_1> Audi <extra_id_2> makes <extra_id_3> Audi <extra_id_4> Audi <extra_id_5> fun <extra_id_6>
68,<extra_id_0> AN <extra_id_1> because <extra_id_2> AN <extra_id_3>,<extra_id_0> BUY <extra_id_1> AUDI <extra_id_2> BUY <extra_id_3> FAST <extra_id_4>
71,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> ad <extra_id_3> a <extra_id_4> of excitement in the city.,<extra_id_0> buy <extra_id_1> bourbon <extra_id_2> bourbon <extra_id_3> suggests <extra_id_4> night <extra_id_5>
72,I should <extra_id_0> <extra_id_1> <extra_id_2> on <extra_id_3> because i can learn about there <extra_id_4>,<extra_id_0> join <extra_id_1> City <extra_id_2> Remix <extra_id_3> facebook <extra_id_4> drink <extra_id_5>
73,I should <extra_id_0> J&amp;B because J&amp;B is tasty.,<extra_id_0> drink <extra_id_1>
74,I should <extra_id_0> J&amp;B because I want a <extra_id_1> <extra_id_2> on the town.,<extra_id_0> drink <extra_id_1> fun <extra_id_2> night <extra_id_3>
75,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> will <extra_id_3> me with <extra_id_4> and Facebook.,<extra_id_0> drink <extra_id_1> beverage <extra_id_2> beverage <extra_id_3> associate <extra_id_4> parties <extra_id_5>
76,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> will <extra_id_5> me,<extra_id_0> drink <extra_id_1> Nestle <extra_id_2> Water <extra_id_3> Nestle <extra_id_4> Water <extra_id_5> hydrate <extra_id_6>
78,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> will <extra_id_5> me <extra_id_6> ,<extra_id_0> drink <extra_id_1> Nestle <extra_id_2> water <extra_id_3> Nestle <extra_id_4> water <extra_id_5> make <extra_id_6> happy <extra_id_7>
80,I should <extra_id_0> <extra_id_1> <extra_id_2> because I will be hydrated.,<extra_id_0> buy <extra_id_1> Nestle <extra_id_2> water <extra_id_3>
82,I should <extra_id_0> <extra_id_1> <extra_id_2> because the <extra_id_3> is trying to hydrate America.,<extra_id_0> drink <extra_id_1> Nestle <extra_id_2> water <extra_id_3> company <extra_id_4>
84,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> <extra_id_5> <extra_id_6> will give me a great smile.,<extra_id_0> drink <extra_id_1> Nestle <extra_id_2> bottled <extra_id_3> water <extra_id_4> Nestle <extra_id_5> bottled <extra_id_6> water <extra_id_7>
86,I should <extra_id_0> a <extra_id_1> because they are <extra_id_2> looking.,<extra_id_0> buy <extra_id_1> CRV <extra_id_2> cool <extra_id_3>
88,"I should <extra_id_0> and drive a <extra_id_1> because it looks so beautiful that a <extra_id_2> cannot be appreciated, <extra_id_3> except up <extra_id_4>",<extra_id_0> buy <extra_id_1> Honda <extra_id_2> Honda <extra_id_3> fully <extra_id_4> close <extra_id_5>
90,I should <extra_id_0> a <extra_id_1> because a <extra_id_2> has so many different <extra_id_3>,<extra_id_0> buy <extra_id_1> cr-z <extra_id_2> cr-z <extra_id_3> dimensions <extra_id_4>
92,I should <extra_id_0> less because <extra_id_1> is a <extra_id_2> life-style. ,<extra_id_0> eat <extra_id_1> self-control <extra_id_2> healthier <extra_id_3>
94,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> you <extra_id_5>,<extra_id_0> buy <extra_id_1> Absolut <extra_id_2> vodka <extra_id_3> Absolut <extra_id_4> makes <extra_id_5> hungry <extra_id_6>
96,I should get some <extra_id_0> some <extra_id_1> <extra_id_2> because some <extra_id_3> <extra_id_4> goes with everything,<extra_id_0> buy <extra_id_1> absolut <extra_id_2> vodka <extra_id_3> absolut <extra_id_4> vodka <extra_id_5>
98,I should go out and <extra_id_0> <extra_id_1> because each <extra_id_2> in the ad <extra_id_3> me think of food and beverages.,<extra_id_0> buy <extra_id_1> groceries <extra_id_2> image <extra_id_3> makes <extra_id_4>
100,I should <extra_id_0> what I <extra_id_1> because I <extra_id_2> take out alot. ,<extra_id_0> watch <extra_id_1> eat <extra_id_2> order <extra_id_3>
102,I should <extra_id_0> at ac <extra_id_1> because the <extra_id_2> are <extra_id_3>,<extra_id_0> shop <extra_id_1> moor <extra_id_2> prices <extra_id_3> good <extra_id_4>
103,I should <extra_id_0> this out because this looks interesting. ,<extra_id_0> check <extra_id_1>
104,I should use <extra_id_0> because I could <extra_id_1> more ,<extra_id_0> coupons <extra_id_1> save <extra_id_2>
105,I should <extra_id_0> at AC <extra_id_1> because they have <extra_id_2> deals.,<extra_id_0> shop <extra_id_1> Moore <extra_id_2> great <extra_id_3>
106,I should <extra_id_0> the <extra_id_1> at this <extra_id_2> because there are some <extra_id_3> deals.,<extra_id_0> shop <extra_id_1> sales <extra_id_2> store <extra_id_3> great <extra_id_4>
107,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> well with everything. ,<extra_id_0> buy <extra_id_1> Bacardi <extra_id_2> rum <extra_id_3> Bacardi <extra_id_4> rum <extra_id_5> pairs <extra_id_6>
108,I should <extra_id_0> <extra_id_1> rum to mix with drinks but not engage in <extra_id_2> and <extra_id_3> because <extra_id_4> and <extra_id_5> is irresponsible. ,<extra_id_0> buy <extra_id_1> Bacardi <extra_id_2> drinking <extra_id_3> driving <extra_id_4> drinking <extra_id_5> driving <extra_id_6>
109,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> with everything ,<extra_id_0> buy <extra_id_1> bacardi <extra_id_2> rum <extra_id_3> bacardi <extra_id_4> rum <extra_id_5> mixes <extra_id_6>
110,I should <extra_id_0> a <extra_id_1> because a <extra_id_2> is spacious.,<extra_id_0> buy <extra_id_1> volkswagen <extra_id_2> volkswagen <extra_id_3>
111,I should go on a <extra_id_0> <extra_id_1> because it will <extra_id_2> me <extra_id_3> vibes.,<extra_id_0> road <extra_id_1> trip <extra_id_2> give <extra_id_3> good <extra_id_4>
112,I should <extra_id_0> a VW because a VW's <extra_id_1>,<extra_id_0> buy <extra_id_1> unique <extra_id_2>
113,I should not want to <extra_id_0> like that because that look <extra_id_1>,<extra_id_0> haul <extra_id_1> crazy <extra_id_2>
114,I should get a <extra_id_0> because a <extra_id_1> has a <extra_id_2> <extra_id_3> capacity.,<extra_id_0> Volkswagen <extra_id_1> Volkswagen <extra_id_2> high <extra_id_3> cargo <extra_id_4>
115,Not an ad <extra_id_0> an ad,<extra_id_0> becauseNot <extra_id_1>
116,I should <extra_id_0> this <extra_id_1> <extra_id_2> because this <extra_id_3> <extra_id_4> are <extra_id_5> of falsely advertising this <extra_id_6> <extra_id_7> hamburgers.,<extra_id_0> avoid <extra_id_1> hamburger <extra_id_2> restaurant <extra_id_3> hamburger <extra_id_4> restaurant <extra_id_5> guilty <extra_id_6> hamburger <extra_id_7> restaurant <extra_id_8>
117,<extra_id_0> THIS <extra_id_1> <extra_id_2> <extra_id_3>,<extra_id_0> BUY <extra_id_1> FOOD <extra_id_2> becauseITS <extra_id_3> BIGGER <extra_id_4>
118,I should not <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because the <extra_id_4> is not as <extra_id_5> as <extra_id_6> <extra_id_7> <extra_id_8> make it look.,<extra_id_0> trust <extra_id_1> fast <extra_id_2> food <extra_id_3> advertising <extra_id_4> food <extra_id_5> good <extra_id_6> fast <extra_id_7> food <extra_id_8> advertising <extra_id_9>
119,I should be <extra_id_0> when I see <extra_id_1> <extra_id_2> in <extra_id_3> because <extra_id_4> use <extra_id_5> to make it look more appetizing than it really is.,<extra_id_0> skeptical <extra_id_1> food <extra_id_2> pictured <extra_id_3> ads <extra_id_4> ads <extra_id_5> tricks <extra_id_6>
120,I should <extra_id_0> <extra_id_1> because I could <extra_id_2> <extra_id_3> ,<extra_id_0> drink <extra_id_1> Sprite <extra_id_2> win <extra_id_3> things <extra_id_4>
121,I should <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> <extra_id_4> me cool.,<extra_id_0> buy <extra_id_1> Sprite <extra_id_2> buying <extra_id_3> Sprite <extra_id_4> makes <extra_id_5>
122,I should <extra_id_0> <extra_id_1> because I could <extra_id_2> a phone.,<extra_id_0> buy <extra_id_1> sprite <extra_id_2> win <extra_id_3>
123,I Should <extra_id_0> the <extra_id_1> because the <extra_id_2> is in <extra_id_3> now.,<extra_id_0> buy <extra_id_1> Warriors <extra_id_2> Warriors <extra_id_3> stores <extra_id_4>
124,"I should <extra_id_0> up this <extra_id_1> because I like baseball, and it seems like a really <extra_id_2> game.",<extra_id_0> pick <extra_id_1> game <extra_id_2> fun <extra_id_3>
125,<extra_id_0> THIS <extra_id_1> because <extra_id_2> <extra_id_3>,<extra_id_0> BUY <extra_id_1> GAME <extra_id_2> BUY <extra_id_3> GOOD <extra_id_4>
126,I should <extra_id_0> <extra_id_1> because <extra_id_2> has many <extra_id_3> <extra_id_4> and a good taste.,<extra_id_0> purchase <extra_id_1> Ovaltine <extra_id_2> Ovaltine <extra_id_3> health <extra_id_4> benefits <extra_id_5>
127,I should <extra_id_0> <extra_id_1> because <extra_id_2> for <extra_id_3> <extra_id_4> and <extra_id_5>,<extra_id_0> buy <extra_id_1> ovaltine <extra_id_2> ovaltine <extra_id_3> health <extra_id_4> strength <extra_id_5> vitality <extra_id_6>
128,<extra_id_0> THIS <extra_id_1> because <extra_id_2> THIS THE BEST,<extra_id_0> BUY <extra_id_1> DRINK <extra_id_2> BUY <extra_id_3>
129,I should <extra_id_0> <extra_id_1> because <extra_id_2> will <extra_id_3> me <extra_id_4> <extra_id_5>,<extra_id_0> buy <extra_id_1> Neutrogena <extra_id_2> Neutrogena <extra_id_3> give <extra_id_4> youthful <extra_id_5> skin <extra_id_6>
132,I should use <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> will <extra_id_6> my <extra_id_7> more youthful and clean.,<extra_id_0> Neutrogena <extra_id_1> Deep <extra_id_2> Clean <extra_id_3> Neutrogena <extra_id_4> Deep <extra_id_5> Clean <extra_id_6> make <extra_id_7> skin <extra_id_8>
135,I should <extra_id_0> this <extra_id_1> <extra_id_2> <extra_id_3> because I want <extra_id_4> skin.,<extra_id_0> buy <extra_id_1> skin <extra_id_2> care <extra_id_3> product <extra_id_4> healthy <extra_id_5>
138,I shouldn't <extra_id_0> because it causes <extra_id_1> cancer.,<extra_id_0> smoke <extra_id_1> lung <extra_id_2>
141,I should <extra_id_0> <extra_id_1> because <extra_id_2> causes <extra_id_3> cancer.,<extra_id_0> quit <extra_id_1> smoking <extra_id_2> smoking <extra_id_3> lung <extra_id_4>
144,I should <extra_id_0> <extra_id_1>  because it causes <extra_id_2> ,<extra_id_0> stop <extra_id_1> smoking <extra_id_2> cancer <extra_id_3>
147,I should <extra_id_0> <extra_id_1> because <extra_id_2> causes <extra_id_3>,<extra_id_0> quit <extra_id_1> smoking <extra_id_2> smoking <extra_id_3> cancer <extra_id_4>
150,I <extra_id_0> <extra_id_1> because I <extra_id_2> want to get <extra_id_3> cancer.,<extra_id_0> shouldnt <extra_id_1> smoke <extra_id_2> dont <extra_id_3> lung <extra_id_4>
153,I should not <extra_id_0> because it can <extra_id_1> me.,<extra_id_0> smoke <extra_id_1> kill <extra_id_2>
156,I shouldn't <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> is like <extra_id_4> yourself in the head.,<extra_id_0> smoke <extra_id_1> cigarettes <extra_id_2> smoking <extra_id_3> cigarettes <extra_id_4> shooting <extra_id_5>
159,I should not <extra_id_0> because it could <extra_id_1> me ,<extra_id_0> smoke <extra_id_1> kill <extra_id_2>
162,I shouldn't <extra_id_0> <extra_id_1> because <extra_id_2> will <extra_id_3> me.,<extra_id_0> smoke <extra_id_1> cigarettes <extra_id_2> cigarettes <extra_id_3> kill <extra_id_4>
165,I shouldn't <extra_id_0> because it's <extra_id_1>,<extra_id_0> smoke <extra_id_1> dedly <extra_id_2>
168,I should <extra_id_0> <extra_id_1> hand <extra_id_2> because <extra_id_3> are everywhere and it is <extra_id_4> to sanitize your hands.,<extra_id_0> buy <extra_id_1> Sanzer <extra_id_2> gel <extra_id_3> germs <extra_id_4> good <extra_id_5>
171,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because every <extra_id_4> door is like a stranger's filthy <extra_id_5>,<extra_id_0> buy <extra_id_1> Santzer <extra_id_2> hand <extra_id_3> sanitizer <extra_id_4> bathroom <extra_id_5> hand <extra_id_6>
174,I should use this <extra_id_0> because I do not know how many <extra_id_1> are on the <extra_id_2> I <extra_id_3> in public places.,<extra_id_0> sanitizer <extra_id_1> germs <extra_id_2> surfaces <extra_id_3> touch <extra_id_4>
177,I should not <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> <extra_id_4> to disease and death.,<extra_id_0> smoke <extra_id_1> cigarettes <extra_id_2> cigarettes <extra_id_3> make <extra_id_4> lead <extra_id_5>
178,I should <extra_id_0> <extra_id_1> because <extra_id_2> causes <extra_id_3> and <extra_id_4> death.,<extra_id_0> quit <extra_id_1> smoking <extra_id_2> smoking <extra_id_3> slow <extra_id_4> painful <extra_id_5>
179,I should not <extra_id_0> <extra_id_1> because <extra_id_2> can cause <extra_id_3> ,<extra_id_0> smoke <extra_id_1> cigarettes <extra_id_2> cigarettes <extra_id_3> disfigurement <extra_id_4>
180,I shouldn't <extra_id_0> <extra_id_1> because <extra_id_2> will <extra_id_3> in <extra_id_4> and death.,<extra_id_0> smoke <extra_id_1> cigarettes <extra_id_2> cigarettes <extra_id_3> result <extra_id_4> pain <extra_id_5>
181,I shouldn't <extra_id_0> because it can <extra_id_1>,<extra_id_0> smoke <extra_id_1> kill <extra_id_2>
182,I should <extra_id_0> <extra_id_1> from <extra_id_2> because <extra_id_3> uses <extra_id_4> materials to make <extra_id_5> shoes.,<extra_id_0> buy <extra_id_1> boots <extra_id_2> Timberland <extra_id_3> Timberland <extra_id_4> recycled <extra_id_5> boots <extra_id_6>
183,I should <extra_id_0> these <extra_id_1> because these <extra_id_2> are more earth-friendly.,<extra_id_0> buy <extra_id_1> boots <extra_id_2> boots <extra_id_3>
184,I should <extra_id_0> <extra_id_1> from this <extra_id_2> because <extra_id_3> <extra_id_4> the environment by using recycled materials.,<extra_id_0> buy <extra_id_1> boots <extra_id_2> company <extra_id_3> boots <extra_id_4> support <extra_id_5>
185,I should use <extra_id_0> <extra_id_1> because the <extra_id_2> <extra_id_3> is sharp.,<extra_id_0> Hitachi <extra_id_1> VCRs <extra_id_2> visual <extra_id_3> quality <extra_id_4>
188,I should <extra_id_0> a <extra_id_1> <extra_id_2> because a <extra_id_3> <extra_id_4> is <extra_id_5> quality. ,<extra_id_0> buy <extra_id_1> hitachi <extra_id_2> VCR <extra_id_3> hitachi <extra_id_4> VCR <extra_id_5> good <extra_id_6>
191,I should <extra_id_0> their vcr's because their have <extra_id_1> <extra_id_2> quality.,<extra_id_0> buy <extra_id_1> sharp <extra_id_2> picture <extra_id_3>
194,I should use <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> is <extra_id_6> ,<extra_id_0> Lacoste <extra_id_1> sports <extra_id_2> equipment <extra_id_3> Lacoste <extra_id_4> sports <extra_id_5> equipment <extra_id_6> innovative <extra_id_7>
198,I should try the <extra_id_0> <extra_id_1> <extra_id_2> of <extra_id_3> because I will want to <extra_id_4> something from the <extra_id_5> <extra_id_6> <extra_id_7> of Lacoste.,<extra_id_0> Steel <extra_id_1> Racquet <extra_id_2> Collection <extra_id_3> Lacoste <extra_id_4> buy <extra_id_5> Steel <extra_id_6> Racquet <extra_id_7> Collection <extra_id_8>
199,I should try the <extra_id_0> <extra_id_1> <extra_id_2> of <extra_id_3> because I will want to buy something from the <extra_id_4> <extra_id_5> <extra_id_6> of LacosteLacoste.,<extra_id_0> Steel <extra_id_1> Racquet <extra_id_2> Collection <extra_id_3> Lacoste <extra_id_4> Steel <extra_id_5> Racquet <extra_id_6> Collection <extra_id_7>
202,I should <extra_id_0> <extra_id_1> because it's <extra_id_2> for <extra_id_3>,<extra_id_0> buy <extra_id_1> Lacoste <extra_id_2> great <extra_id_3> exercise <extra_id_4>
206,I should <extra_id_0> this <extra_id_1> because this gum's not just for <extra_id_2>,<extra_id_0> buy <extra_id_1> gum <extra_id_2> halloween <extra_id_3>
207,I should <extra_id_0> Wrigley's <extra_id_1> because Wrigley's <extra_id_2> <extra_id_3> great.,<extra_id_0> buy <extra_id_1> Gum <extra_id_2> Gum <extra_id_3> tastes <extra_id_4>
208,I should <extra_id_0> <extra_id_1> <extra_id_2> because I want to <extra_id_3> this cookie cutter by sending in a mailer.,<extra_id_0> buy <extra_id_1> wrigleys <extra_id_2> gum <extra_id_3> receive <extra_id_4>
209,I should <extra_id_0> a <extra_id_1> <extra_id_2> because a <extra_id_3> is 505 off ,<extra_id_0> order <extra_id_1> pizza <extra_id_2> online <extra_id_3> pizza <extra_id_4>
210,I should <extra_id_0> Domino's <extra_id_1> <extra_id_2> because I will <extra_id_3> 50% when i order <extra_id_4>,<extra_id_0> Buy <extra_id_1> pizza <extra_id_2> online <extra_id_3> save <extra_id_4> online <extra_id_5>
211,I should <extra_id_0> <extra_id_1> because <extra_id_2> is a <extra_id_3> deal.,<extra_id_0> buy <extra_id_1> pizza <extra_id_2> pizza <extra_id_3> good <extra_id_4>
212,I should <extra_id_0> Domino's <extra_id_1> because Domino's <extra_id_2> <extra_id_3> discounts on online <extra_id_4> ,<extra_id_0> eat <extra_id_1> pizza <extra_id_2> pizza <extra_id_3> offer <extra_id_4> orders <extra_id_5>
213,I should <extra_id_0> <extra_id_1> from Domino's because I will get 50% off all.,<extra_id_0> order <extra_id_1> online <extra_id_2>
214,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> <extra_id_3> <extra_id_4> as a <extra_id_5> should.,<extra_id_0> buy <extra_id_1> product <extra_id_2> product <extra_id_3> tastes <extra_id_4> good <extra_id_5> cigarette <extra_id_6>
